,word,count
7862,dry,4
7863,dryer,1
7877,duck,1
7909,dump,1
7999,each,3
8002,ear,4
8038,eat,2
8170,egg,7
8262,elephant,1
8410,empty,2
8851,every,2
9082,eye,5
9104,face,2
9164,fall,2
9221,farm,2
9244,fast,3
9328,feed,1
9530,find,3
9533,fine,2
9537,finger,2
9543,finish,1
9558,fireman,1
9568,first,3
9577,fish,7
9591,fit,1
9597,fix,2
9610,flag,1
9732,flower,7
9810,food,2
9825,foot,5
9848,for,5
9929,fork,2
10100,french fries,1
10131,friend,2
10217,full,4
10360,game,2
10392,garage,1
10397,garden,2
10410,gas station,1
10605,get,3
10690,girl,2
10703,give,3
10740,glass,2
10743,glasses,1
10806,glue,1
10829,go,3
10885,good,4
10986,grandma,2
10988,grandpa,1
10998,grapes,1
11006,grass,6
11052,green,3
11142,grrr,1
11328,hair,4
11378,hamburger,1
11384,hammer,1
11396,hand,5
11449,happy,2
11455,hard,3
11523,hat,1
11526,hate,3
11539,have,4
11569,he,9
11571,head,4
11597,hear,2
11625,heavy,7
11667,hello,2
11675,help,4
11688,hen,1
11705,her,3
11715,here,8
11746,hers,1
11778,hi,1
11789,hide,1
11801,high,2
11827,him,3
11857,his,3
11869,hit,3
11912,hold,2
11936,home,3
12019,horse,3
12030,hose,2
12040,hot,3
12054,house,3
12073,how,8
12152,hungry,2
12165,hurry,2
12167,hurt,2
12271,ice,3
12316,if,4
13096,into,3
13229,is,4
13262,it,4
13293,jacket,1
13370,jeans,1
13382,jelly,1
13518,juice,1
13530,jump,1
13695,kick,1
13773,kitchen,1
13798,knee,4
13805,knife,1
13812,knock,1
13919,ladder,1
13925,lady,2
13964,lamp,1
14055,last,3
14068,later,1
14176,leg,5
14365,light,2
14377,like,4
14441,lion,1
14463,listen,2
14494,little,3
14513,living room,1
14592,long,9
14599,look,4
14652,love,4
14874,mailman,1
14891,make,2
14953,man,8
15264,me,5
15286,meat,5
15310,medicine,1
15360,melon,1
15410,meow,1
15596,milk,1
15638,mine,1
15937,money,3
15952,monkey,1
15991,moo,1
15993,moon,3
16017,more,3
16025,morning,2
16087,motorcycle,2
16114,mouth,4
16139,much,3
16250,my,4
16262,myself,1
16303,nap,1
16308,napkin,2
16422,necklace,2
16531,new,5
16556,next to,1
16564,nice,2
16601,night,5
16660,no,5
16701,none,1
16756,nose,4
16765,not,8
16802,now,3
16851,nurse,1
17012,of,4
17013,off,3
17071,old,5
17108,on,5
17158,open,2
17220,orange,4
17320,other,8
17329,ouch,1
17335,our,3
17339,out,3
17402,outside,2
17425,over,3
17637,paint,2
17699,pancake,1
17736,paper,3
17802,park,1
17858,party,2
18055,pen,2
18060,pencil,1
18072,penguin,1
18078,penis,1
18104,people,3
18208,person,2
18397,pick,2
18403,picnic,2
18405,picture,2
18418,pig,1
18439,pillow,1
18513,pizza,2
18553,plant,3
18567,plate,2
18583,play,2
18606,please,3
18716,police,3
18791,pool,2
18794,poor,4
18797,popcorn,1
18896,potato,1
18911,potty,1
18917,pour,1
19055,present,1
19094,pretty,2
19420,pudding,1
19442,pull,2
19455,pumpkin,1
19512,push,1
19519,put,3
19658,quiet,1
19731,radio,1
19764,rain,3
19919,read,2
20087,red,3
20700,ride,1
20798,rock,2
20847,room,2
20974,run,2
21050,sad,2
21119,salt,3
21139,same,3
21270,say,3
21309,scared,2
21310,scarf,1
21353,school,2
21377,scissors,1
21546,see,4
21797,shake,1
21832,share,2
21853,she,3
21863,sheep,1
21913,shirt,1
21936,shoe,1
21954,shopping,1
21967,shorts,1
21975,shoulder,1
21981,show,2
22037,sick,2
22134,sing,3
22142,sink,1
22164,sister,3
22166,sit,2
22254,sky,3
22297,sleep,3
22341,slow,2
22396,smile,1
22431,snack,1
22480,snow,4
22498,so,3
22501,soap,1
22526,sock,1
22541,soft,1
22600,some,8
22676,soup,1
22711,spaghetti,1
22872,spoon,1
22921,sprinkler,1
22969,squirrel,1
23037,stand,4
23058,star,5
23102,stay,2
23175,stick,7
23179,sticky,1
23235,stone,2
23245,stop,5
23253,store,2
23260,story,2
23299,strawberry,1
23305,street,2
23352,stuck,1
23524,sun,4
23704,sweater,1
23726,swim,1
23732,swing,1
23825,table,3
23862,take,3
23883,talk,3
23966,taste,1
24002,teacher,1
24011,tear,1
24059,telephone,1
24195,that,9
24202,the,3
24228,their,3
24231,them,2
24234,then,4
24248,there,7
24269,these,2
24275,they,9
24292,think,3
24317,this,9
24341,those,2
24392,throw,1
24423,tickle,1
24442,tights,1
24458,time,2
24485,tiny,1
24513,to,4
24581,today,3
24586,toe,1
24617,tomorrow,3
24623,tongue,5
24627,tonight,2
24634,too,3
24641,tooth,4
24691,touch,2
24747,train,2
24870,tree,6
25137,turkey,1
25373,uncle,2
25405,under,2
25423,underpants,2
25671,up,3
25759,us,2
25807,vacuum,1
26139,vitamins,1
26229,vroom,1
26258,wait,2
26265,wake,1
26273,walk,3
26276,walker,1
26344,was,4
26347,wash,1
26353,washing machine,1
26371,watch,3
26381,water,3
26420,we,8
26511,were,2
26526,wet,3
26541,what,9
26555,when,8
26557,where,6
26568,which,2
26596,white,4
26608,who,8
26631,why,3
26674,will,3
26689,wind,4
26705,window,1
26711,windy,1
26742,wish,3
26747,with,5
26833,work,4
26872,would,2
26898,write,2
26963,yard,2
26987,yellow,3
26997,yes,3
27001,yesterday,2
27019,yogurt,1
27041,you,8
27050,your,4
27052,yourself,1
27089,zebra,1
27116,zipper,1
